CompanyCode,Issuer,🌐,Formed,Issue,Shares,Stake,Holding date
00011,HANG SENG FINANCE LIMITED (orgdata.asp?p=26437),HK,1972-01-25,Ordinary shares, ,2013-12-31,2013-12-31
00011,Hang Seng Indexes Company Limited (orgdata.asp?p=56825),HK,1984-04-06,Ordinary shares, ,2013-12-31,2013-12-31
00011,Hang Seng Insurance Company Limited (orgdata.asp?p=29488),,,Ordinary shares, ,2013-12-31,2013-12-31
00011,HANG SENG INVESTMENT MANAGEMENT LIMITED (orgdata.asp?p=70118),HK,1993-04-01,Ordinary shares, ,2013-12-31,2013-12-31
00011,HANG SENG LIFE LIMITED (orgdata.asp?p=3915),HK,1974-02-12,Ordinary shares, ,2013-12-31,2013-12-31
00011,HANG SENG REAL ESTATE MANAGEMENT LIMITED (orgdata.asp?p=269055),HK,1982-09-24,Ordinary shares, ,2013-12-31,2013-12-31
00011,HANG SENG SECURITIES LIMITED (orgdata.asp?p=50840),HK,1988-07-15,Ordinary shares, ,2013-12-31,2013-12-31
00011,HASEBA INVESTMENT COMPANY LIMITED (orgdata.asp?p=172380),HK,1970-01-06,Ordinary shares, ,2013-12-31,2013-12-31
00011,HIGH TIME INVESTMENTS LIMITED (orgdata.asp?p=460566),HK,1991-05-14,Ordinary shares, ,2013-12-31,2013-12-31
00011,IBUSINESSCORPORATION.COM LIMITED (orgdata.asp?p=10767),HK,2000-01-12,Ordinary shares, ,2000-06-20,2000-06-20
00011,YAN NIN DEVELOPMENT COMPANY LIMITED (orgdata.asp?p=195631),HK,1975-05-27,Ordinary shares, ,2013-12-31,2013-12-31
00023,Bank of East Asia (China) Limited (orgdata.asp?p=42392),CN,,Ordinary shares, ,2011-12-31,2011-12-31
00023,BLUE CROSS (ASIA-PACIFIC) INSURANCE LIMITED (orgdata.asp?p=134733),HK,1969-11-21,Ordinary shares, ,2010-12-31,2010-12-31
00023,East Asia Secretaries (BVI) Limited (orgdata.asp?p=22553),VG,,Ordinary shares, ,2008-12-31,2008-12-31
00023,EAST ASIA SECURITIES COMPANY LIMITED (orgdata.asp?p=21200),HK,1985-05-28,Ordinary shares, ,2008-12-31,2008-12-31
00023,Tricor Holdings Limited (VG) (orgdata.asp?p=16637),VG,,Ordinary shares, ,2006-12-31,2006-12-31
00023,Tung Shing Holdings Company Limited (orgdata.asp?p=6801),VG,,Ordinary shares, ,2004-12-31,2004-12-31
00440,Cycle Chance Limited (orgdata.asp?p=2586806),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00440,DAH SING COMPANY LIMITED (orgdata.asp?p=163475),HK,1964-05-13,Ordinary shares, ,2015-12-31,2015-12-31
00440,Dah Sing Holdings Limited (orgdata.asp?p=2586800),BM,1989-08-18,Ordinary shares, ,2015-12-31,2015-12-31
00440,DAH SING INSURANCE AGENCY LIMITED (orgdata.asp?p=339335),HK,1987-04-28,Ordinary shares, ,2015-12-31,2015-12-31
00440,DAH SING INSURANCE COMPANY (1976) LIMITED (orgdata.asp?p=201677),HK,1976-08-20,Ordinary shares, ,2015-12-31,2015-12-31
00440,DAH SING INSURANCE COMPANY LIMITED (orgdata.asp?p=134724),BM,1998-07-14,Ordinary shares, ,2015-12-31,2015-12-31
00440,Dah Sing International Limited (orgdata.asp?p=2586801),BM,1990-07-26,Ordinary shares, ,2015-12-31,2015-12-31
00440,Dah Sing Medical Science Investment Incorporated (orgdata.asp?p=2586802),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00440,DAH SING SECRETARIAL SERVICES LIMITED (orgdata.asp?p=345998),HK,1987-07-28,Ordinary shares, ,2015-12-31,2015-12-31
00440,DSE INVESTMENT SERVICES LIMITED (orgdata.asp?p=626642),HK,1994-04-28,Ordinary shares, ,2015-12-31,2015-12-31
00440,DSFH LIMITED (orgdata.asp?p=840936),HK,1999-10-22,Ordinary shares, ,2015-12-31,2015-12-31
00440,Filey Investment Corporation (orgdata.asp?p=2586803),PA,,Ordinary shares, ,2015-12-31,2015-12-31
00440,High Standard Investment Ltd. (orgdata.asp?p=2586804),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00440,"LUEN FUNG INVESTMENT COMPANY, LIMITED (orgdata.asp?p=157839)",HK,1955-09-21,Ordinary shares, ,2015-12-31,2015-12-31
00440,Macau Insurance Company Limited (orgdata.asp?p=2586807),MO,,Ordinary shares, ,2015-12-31,2015-12-31
00440,Macau Life Insurance Company Limited (orgdata.asp?p=2586808),MO,,Ordinary shares, ,2015-12-31,2015-12-31
00440,NEWINNER INVESTMENTS LIMITED (orgdata.asp?p=611590),HK,1994-01-18,Ordinary shares, ,2015-12-31,2015-12-31
00440,TAHOE INSURANCE SERVICES LIMITED (orgdata.asp?p=311116),HK,1985-09-27,Ordinary shares, ,2015-12-31,2015-12-31
00440,TAHOE LIFE INSURANCE COMPANY LIMITED (orgdata.asp?p=131556),BM,1989-11-01,Ordinary shares, ,2015-12-31,2015-12-31
00440,Upway Wealth International Limited (orgdata.asp?p=2586805),VG,,Ordinary shares, ,2015-12-31,2015-12-31
00440,WOF ESCROW LIMITED (orgdata.asp?p=181749),HK,1972-07-21,Ordinary shares, ,2015-12-31,2015-12-31
00440,WORLD PROSPER LIMITED (orgdata.asp?p=1037989),HK,2004-03-19,Ordinary shares, ,2015-12-31,2015-12-31
00626,NET ALLIANCE CO. LIMITED (orgdata.asp?p=858671),HK,2000-03-27,Ordinary shares, ,2013-12-31,2013-12-31
00626,PUBLIC BANK (HONG KONG) LIMITED (orgdata.asp?p=1626),HK,1934-12-31,Ordinary shares, ,2013-12-31,2013-12-31
00626,WINTON (B.V.I.) LIMITED (orgdata.asp?p=141581),VG,,Ordinary shares, ,2013-12-31,2013-12-31
00939,AVIC CCB Aviation Industry Equity Investment (Tianjin) Company Limited (orgdata.asp?p=2537278),CN,,Equity joint venture, ,2012-12-31,2012-12-31
00939,CCB International Group Holdings Limited (orgdata.asp?p=1214542),HK,2006-08-15,Ordinary shares, ,2018-10-26,2018-10-26
00939,China Construction Bank (Asia) Corporation Limited (orgdata.asp?p=662),HK,1912-02-21,Ordinary shares, ,2012-12-31,2012-12-31
00939,DIAMOND STRING LIMITED (orgdata.asp?p=51569),HK,1993-03-18,Ordinary shares, ,2008-07-31,2008-07-31
01111,BANK CONSORTIUM HOLDING LIMITED (orgdata.asp?p=30579),HK,1999-05-12,Ordinary shares, ,2012-12-31,2012-12-31
01111,BC REINSURANCE LIMITED (orgdata.asp?p=21012),HK,2000-10-18,Ordinary shares, ,2012-12-31,2012-12-31
01111,CARD ALLIANCE COMPANY LIMITED (orgdata.asp?p=857820),HK,2000-03-20,Ordinary shares, ,2012-12-31,2012-12-31
01111,Chong Hing (Nominees) Limited (orgdata.asp?p=1644),HK,1970-11-06,Ordinary shares, ,2012-12-31,2012-12-31
01111,CHONG HING COMMODITIES AND FUTURES LIMITED (orgdata.asp?p=71812),HK,1987-05-19,Ordinary shares, ,2012-12-31,2012-12-31
01111,Chong Hing Finance Limited (orgdata.asp?p=187296),HK,1973-07-04,Ordinary shares, ,2012-12-31,2012-12-31
01111,Chong Hing Information Technology Limited (orgdata.asp?p=198178),HK,1975-12-23,Ordinary shares, ,2012-12-31,2012-12-31
01111,CHONG HING INSURANCE COMPANY LIMITED (orgdata.asp?p=134722),HK,1960-05-28,Ordinary shares, ,2012-12-31,2012-12-31
01111,CHONG HING SECURITIES LIMITED (orgdata.asp?p=50782),HK,1984-12-07,Ordinary shares, ,2012-12-31,2012-12-31
01111,GALLBRAITH LIMITED (orgdata.asp?p=244800),HK,1981-01-20,Ordinary shares, ,2012-12-31,2012-12-31
01111,HERO MARKER LIMITED (orgdata.asp?p=1829699),HK,2011-11-23,Ordinary shares, ,2012-12-31,2012-12-31
01111,HONG KONG LIFE INSURANCE LIMITED (orgdata.asp?p=21011),HK,2000-03-17,Ordinary shares, ,2012-12-31,2012-12-31
01111,NET ALLIANCE CO. LIMITED (orgdata.asp?p=858671),HK,2000-03-27,Ordinary shares, ,2012-12-31,2012-12-31
01111,TOP BENEFIT ENTERPRISE LIMITED (orgdata.asp?p=1785183),HK,2011-07-21,Ordinary shares, ,2012-12-31,2012-12-31
01288,ABC INTERNATIONAL HOLDINGS LIMITED (orgdata.asp?p=1536385),HK,2009-11-10,Ordinary shares, ,2017-07-28,2017-07-28
01398,China Hua Rong Asset Management Corporation (orgdata.asp?p=11739),CN,,Ordinary shares, ,2000-10-09,2000-10-09
01398,Chinese Mercantile Bank (orgdata.asp?p=1688),CN,,Ordinary shares, ,1996-12-31,1996-12-31
01398,ICBC International Holdings Limited (orgdata.asp?p=60975),HK,1973-03-30,Ordinary shares, ,2013-03-31,2013-03-31
01398,Industrial and Commercial Bank of China (Macau) Limited (orgdata.asp?p=58727),MO,,Ordinary shares, ,2013-12-31,2013-12-31
01398,International Bank of Paris and Shanghai (orgdata.asp?p=1690),CN,,Ordinary shares, , , 
01398,Tung Shing Holdings Company Limited (orgdata.asp?p=6801),VG,,Ordinary shares, ,2004-12-31,2004-12-31
01988,CMBC INTERNATIONAL HOLDINGS LIMITED (orgdata.asp?p=2382713),HK,2015-02-11,Ordinary shares, ,2018-06-30,2018-06-30
02356,Banco Commercial de Macau S.A. (orgdata.asp?p=12265),,,Ordinary shares, ,2012-12-31,2012-12-31
02356,BANK CONSORTIUM HOLDING LIMITED (orgdata.asp?p=30579),HK,1999-05-12,Ordinary shares, ,2013-12-31,2013-12-31
02356,"DAH SING BANK, LIMITED (orgdata.asp?p=1157)",HK,1947-05-01,Ordinary shares, ,2012-12-31,2012-12-31
02356,DAH SING COMPUTER SYSTEMS LIMITED (orgdata.asp?p=308580),HK,1985-08-23,Ordinary shares, ,2012-12-31,2012-12-31
02356,DAH SING FINANCE LIMITED (orgdata.asp?p=185344),HK,1973-03-09,Ordinary shares, ,2012-12-31,2012-12-31
02356,DAH SING INSURANCE BROKERS LIMITED (orgdata.asp?p=453345),HK,1991-03-19,Ordinary shares, ,2012-12-31,2012-12-31
02356,DAH SING NOMINEES LIMITED (orgdata.asp?p=185345),HK,1973-03-09,Ordinary shares, ,2012-12-31,2012-12-31
02356,DAH SING PROPERTIES LIMITED (orgdata.asp?p=344234),HK,1987-07-03,Ordinary shares, ,2012-12-31,2012-12-31
02356,DAH SING SECURITIES LIMITED (orgdata.asp?p=23377),HK,1999-08-27,Ordinary shares, ,2012-12-31,2012-12-31
02356,DSB BCM (1) LIMITED (orgdata.asp?p=1148225),HK,2005-10-12,Ordinary shares, ,2012-12-31,2012-12-31
02356,DSB BCM (2) LIMITED (orgdata.asp?p=1147056),HK,2005-10-05,Ordinary shares, ,2012-12-31,2012-12-31
02356,MEVAS (1931) LIMITED (orgdata.asp?p=21436),HK,1931-12-12,Ordinary shares, ,2012-12-31,2012-12-31
02356,MEVAS NOMINEES LIMITED (orgdata.asp?p=169672),HK,1968-12-03,Ordinary shares, ,2012-12-31,2012-12-31
02356,MODERN BRIGHT HONG KONG LIMITED (orgdata.asp?p=1311680),HK,2007-09-05,Ordinary shares, ,2012-12-31,2012-12-31
02356,MODERN WORLD HOLDINGS LIMITED (orgdata.asp?p=1311697),HK,2007-09-05,Ordinary shares, ,2012-12-31,2012-12-31
02356,OK FINANCE LIMITED (HK) (orgdata.asp?p=1744051),HK,2011-05-06,Ordinary shares, ,2012-12-31,2012-12-31
02356,PACIFIC FINANCE (HONG KONG) LIMITED (orgdata.asp?p=646241),HK,1994-11-08,Ordinary shares, ,2012-12-31,2012-12-31
02356,VANISHING BORDER INVESTMENT SERVICES LIMITED (orgdata.asp?p=532114),HK,1992-09-29,Ordinary shares, ,2012-12-31,2012-12-31
02388,BANK OF CHINA (HONG KONG) LIMITED (orgdata.asp?p=15356),HK,1964-10-16,Ordinary shares, ,2017-12-31,2017-12-31
02388,BOC GROUP LIFE ASSURANCE COMPANY LIMITED (orgdata.asp?p=24261),HK,1997-03-12,Ordinary shares, ,2012-12-31,2012-12-31
02888,STANDARD CHARTERED BANK (HONG KONG) LIMITED (orgdata.asp?p=1609),HK,2003-12-12,Ordinary shares, , , 
02888,STANDARD CHARTERED HOLDINGS LIMITED (orgdata.asp?p=2607497),GB,1989-09-25,Ordinary shares, ,2012-12-31,2012-12-31
03968,CMB International Capital Holdings Corporation Limited (orgdata.asp?p=36127),HK,1993-07-06,Ordinary shares, ,2010-12-31,2010-12-31
03988,BANK OF CHINA GROUP INSURANCE COMPANY LIMITED (orgdata.asp?p=20557),HK,1975-05-23,Ordinary shares, ,2010-12-31,2010-12-31
03988,BANK OF CHINA GROUP INVESTMENT LIMITED (orgdata.asp?p=2008),HK,1984-12-11,Ordinary shares, ,2012-12-31,2012-12-31
03988,BOC HONG KONG (GROUP) LIMITED (orgdata.asp?p=918296),HK,2001-09-12,Ordinary shares, ,2012-12-31,2012-12-31
03988,BOC INTERNATIONAL HOLDINGS LIMITED (orgdata.asp?p=11472),HK,1998-07-10,Ordinary shares, ,2018-06-21,2018-06-21
03988,HONG KONG NOTE PRINTING LIMITED (orgdata.asp?p=3294),HK,1995-12-12,Ordinary shares, ,1997-10-14,1997-10-14
03988,IFC DEVELOPMENT LIMITED (orgdata.asp?p=3542),VG,,Ordinary shares, , , 
03988,"SUN CHUNG ESTATE COMPANY, LIMITED (orgdata.asp?p=3820)",HK,1982-11-19,Ordinary shares, , , 
03988,Tai Fung Bank Limited (orgdata.asp?p=2016),MO,,Ordinary shares, , , 
04606,AVIC CCB Aviation Industry Equity Investment (Tianjin) Company Limited (orgdata.asp?p=2537278),CN,,Equity joint venture, ,2012-12-31,2012-12-31
04606,CCB International Group Holdings Limited (orgdata.asp?p=1214542),HK,2006-08-15,Ordinary shares, ,2018-10-26,2018-10-26
04606,China Construction Bank (Asia) Corporation Limited (orgdata.asp?p=662),HK,1912-02-21,Ordinary shares, ,2012-12-31,2012-12-31
04606,DIAMOND STRING LIMITED (orgdata.asp?p=51569),HK,1993-03-18,Ordinary shares, ,2008-07-31,2008-07-31
04609,CMBC INTERNATIONAL HOLDINGS LIMITED (orgdata.asp?p=2382713),HK,2015-02-11,Ordinary shares, ,2018-06-30,2018-06-30
04614,CMB International Capital Holdings Corporation Limited (orgdata.asp?p=36127),HK,1993-07-06,Ordinary shares, ,2010-12-31,2010-12-31
00662,"ASIA INSURANCE COMPANY, LIMITED (orgdata.asp?p=2163)",HK,1959-08-10,Ordinary shares, ,2010-12-31,2010-12-31
00662,ASIA INVESTMENT MANAGEMENT LIMITED (orgdata.asp?p=14921),HK,1999-02-05,Ordinary shares, ,2002-02-15,2002-02-15
00662,BANK CONSORTIUM HOLDING LIMITED (orgdata.asp?p=30579),HK,1999-05-12,Ordinary shares, ,2018-12-31,2018-12-31
00662,BC REINSURANCE LIMITED (orgdata.asp?p=21012),HK,2000-10-18,Ordinary shares, ,2018-12-31,2018-12-31
00662,HONG KONG LIFE INSURANCE LIMITED (orgdata.asp?p=21011),HK,2000-03-17,Ordinary shares, ,2018-12-31,2018-12-31
00945,MANUFACTURERS LIFE INSURANCE COMPANY (THE) (orgdata.asp?p=136318),CA,,Ordinary shares, ,2010-12-31,2010-12-31
00966,Taiping Financial Holdings Company Limited (orgdata.asp?p=328078),HK,1986-10-15,Ordinary shares, ,2017-11-14,2017-11-14
01299,AIA Company Limited (orgdata.asp?p=21397),HK,1931-04-14,Ordinary shares, ,2013-12-31,2013-12-31
01299,AIA International Limited (orgdata.asp?p=48820),BM,1959-01-16,Ordinary shares, ,2013-12-31,2013-12-31
01336,New China Asset Management (Hong Kong) Limited (orgdata.asp?p=2041201),HK,2013-03-26,Ordinary shares, ,2017-12-31,2017-12-31
01336,"New China Asset Management Co., Ltd. (orgdata.asp?p=1920901)",CN,,Ordinary shares, ,2017-12-31,2017-12-31
01339,PICC Life Insurance Company Limited (orgdata.asp?p=1986102),CN,,Ordinary shares, ,2012-12-31,2012-12-31
02318,CHINA PING AN INSURANCE (HONG KONG) COMPANY LIMITED (orgdata.asp?p=46578),HK,1976-08-17,Ordinary shares, ,2013-12-31,2013-12-31
02318,CHINA PING AN INSURANCE OVERSEAS (HOLDINGS) LIMITED (orgdata.asp?p=720770),HK,1996-10-24,Ordinary shares, ,2013-12-31,2013-12-31
02318,"China Ping An Trust Co., Ltd. (orgdata.asp?p=21334)",,,Ordinary shares, ,2012-12-31,2012-12-31
02318,"Ping An Life Insurance Company of China, Ltd. (orgdata.asp?p=2548203)",CN,,Ordinary shares, ,2012-12-31,2012-12-31
02318,PING AN OF CHINA ASSET MANAGEMENT (HONG KONG) COMPANY LIMITED (orgdata.asp?p=70773),HK,2006-05-16,Ordinary shares, ,2013-12-31,2013-12-31
02318,Ping An of China Capital (Hong Kong) Company Limited (orgdata.asp?p=68488),HK,2010-04-27,Ordinary shares, ,2013-12-31,2013-12-31
02318,PING AN OF CHINA SECURITIES (HONG KONG) COMPANY LIMITED (orgdata.asp?p=50969),HK,2006-07-19,Ordinary shares, ,2013-12-31,2013-12-31
02318,"Ping An Property & Casualty Insurance Company of China, Ltd (orgdata.asp?p=2546828)",,,Ordinary shares, ,2011-12-31,2011-12-31
02328,China Aerospace Investment Holdings Ltd (orgdata.asp?p=2442201),CN,2006-12-29,Ordinary shares, ,2012-12-31,2012-12-31
02378,Jackson National Life Insurance Company (orgdata.asp?p=58132),US,,Ordinary shares, ,2011-12-31,2011-12-31
02378,M & G GROUP LIMITED (orgdata.asp?p=2653417),GB,1959-07-24,Ordinary shares, ,2012-12-31,2012-12-31
02378,PRUDENTIAL HOLDINGS LIMITED (orgdata.asp?p=148662),GB,2000-09-01,Ordinary shares, ,2012-12-31,2012-12-31
02601,China Pacific Life Insurance Corporation Limited (orgdata.asp?p=2496082),CN,,Ordinary shares, ,2012-12-31,2012-12-31
00053,ASIA FOUNTAIN INVESTMENT COMPANY LIMITED (orgdata.asp?p=255894),HK,1981-10-02,Ordinary shares, ,2012-06-30,2012-06-30
00053,ASIAN FINANCIAL COMMON WEALTH (PTC) LIMITED (orgdata.asp?p=149926),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00053,GUOCO INVESTMENTS (CHINA) LIMITED (orgdata.asp?p=505627),HK,1992-04-28,Ordinary shares, ,2012-06-30,2012-06-30
00053,GUOCO MANAGEMENT COMPANY LIMITED (orgdata.asp?p=452385),HK,1991-03-07,Ordinary shares, ,2012-12-31,2012-12-31
00053,Guoco Securities (Bermuda) Limited (orgdata.asp?p=15267691),BM,,Ordinary shares, ,2015-11-25,2015-11-25
00053,GuocoEquity Assets Limited (orgdata.asp?p=43320),HK,1981-01-27,Ordinary shares, ,2012-06-30,2012-06-30
00053,"Shanghai Hao Cheng Property Co., Ltd. (orgdata.asp?p=7195)",CN,,Equity joint venture, ,1998-06-30,1998-06-30
00053,"Shanghai Yong Hao Property Co., Ltd. (orgdata.asp?p=7194)",CN,,Equity joint venture, ,1998-06-30,1998-06-30
00068,"LEE HING INVESTMENT COMPANY, LIMITED (orgdata.asp?p=160590)",HK,1961-11-14,Ordinary shares, ,2015-12-31,2015-12-31
00068,WANG TAK COMPANY LIMITED (orgdata.asp?p=160284),HK,1961-06-28,Ordinary shares, ,2015-12-31,2015-12-31
00080,Gransing Financial Group Limited (orgdata.asp?p=2641802),VG,,Ordinary shares,48,2018-06-30,2018-06-30
00139,Celestial Lodge Limited (orgdata.asp?p=2665064),VG,,Ordinary shares, ,2016-11-28,2016-11-28
00139,Hoshing Limited (orgdata.asp?p=2346044),VG,,Ordinary shares, ,2018-01-23,2018-01-23
00139,Instant Achieve Limited (orgdata.asp?p=2676103),VG,,Ordinary shares, ,2017-09-08,2017-09-08
00139,Sino Green Holdings Limited (VG) (orgdata.asp?p=2352251),VG,,Ordinary shares, ,2014-11-28,2014-11-28
00139,Winsey Enterprises Limited (orgdata.asp?p=11796675),VG,,Ordinary shares, ,2017-12-29,2017-12-29
00165,ALLY POINT LIMITED (orgdata.asp?p=1258742),HK,2007-02-23,Ordinary shares, ,2012-12-31,2012-12-31
00165,CEL (SECRETARIES) LIMITED (orgdata.asp?p=351530),HK,1987-10-02,Ordinary shares, ,2012-12-31,2012-12-31
00165,CEL MANAGEMENT SERVICES LIMITED (orgdata.asp?p=312634),HK,1985-10-25,Ordinary shares, ,2012-12-31,2012-12-31
00165,CHINA EVERBRIGHT ASSETS MANAGEMENT LIMITED (orgdata.asp?p=66272),HK,1990-08-07,Ordinary shares, ,2012-12-31,2012-12-31
00165,CHINA EVERBRIGHT FINANCE LIMITED (orgdata.asp?p=455111),HK,1991-04-09,Ordinary shares, ,2012-12-31,2012-12-31
00165,CHINA EVERBRIGHT FINANCIAL INVESTMENTS LIMITED (orgdata.asp?p=452243),HK,1991-03-05,Ordinary shares, ,2012-12-31,2012-12-31
00165,China Everbright Industrial Investment Holdings Limited (orgdata.asp?p=2049330),KY,,Ordinary shares, ,2012-12-31,2012-12-31
00165,China Everbright Investment Management Limited (orgdata.asp?p=93988),HK,2006-03-11,Ordinary shares, ,2012-12-31,2012-12-31
00165,China Everbright Network Payment Limited (orgdata.asp?p=1281667),HK,2007-05-21,Ordinary shares, ,2012-12-31,2012-12-31
00165,EBA Investments (Advisory) Limited (orgdata.asp?p=1309019),HK,2007-08-27,Ordinary shares, ,2012-12-31,2012-12-31
00165,Everbright Capital Management Limited (orgdata.asp?p=66271),HK,2007-03-30,Ordinary shares, ,2012-12-31,2012-12-31
00165,Everbright Securities (International) Limited (orgdata.asp?p=2049331),VG,,Ordinary shares, ,2012-12-31,2012-12-31
00165,JANCO DEVELOPMENT LIMITED (orgdata.asp?p=597084),HK,1993-08-24,Ordinary shares, ,2012-12-31,2012-12-31
00165,SEABRIGHT ASSET MANAGEMENT LIMITED (orgdata.asp?p=73141),HK,2003-02-28,Ordinary shares, ,2012-12-31,2012-12-31
00165,SOLIDPOLE LIMITED (orgdata.asp?p=313208),HK,1985-11-08,Ordinary shares, ,2012-12-31,2012-12-31
00165,TENDAI LIMITED (d2010-01-22) (orgdata.asp?p=580495),HK,1993-06-29,Ordinary shares, ,2003-12-31,2003-12-31
00165,WELL LOGIC INVESTMENT LIMITED (orgdata.asp?p=616232),HK,1994-02-17,Ordinary shares, ,2012-12-31,2012-12-31
00174,PACIFIC APEX INTERNATIONAL LIMITED (orgdata.asp?p=713890),HK,1996-09-10,Ordinary shares, ,2005-03-31,2005-03-31
00235,China Strategic (B.V.I.) Limited (orgdata.asp?p=2446172),VG,,Ordinary shares, ,2003-09-30,2003-09-30
00235,China Strategic Asset Holdings Limited (orgdata.asp?p=2369439),VG,,Ordinary shares, ,2014-12-02,2014-12-02
00235,CHINA STRATEGIC MANAGEMENT LIMITED (orgdata.asp?p=2260390),HK,2014-04-23,Ordinary shares, ,2017-12-31,2017-12-31
00235,China Strategic Metal and Minerals Limited (orgdata.asp?p=2224691),HK,2014-03-15,Ordinary shares, ,2017-12-31,2017-12-31
00235,CHINA WTO.COM LIMITED (orgdata.asp?p=525343),HK,1992-08-18,Ordinary shares, ,2004-12-31,2004-12-31
00235,CS Credit Limited (orgdata.asp?p=2072926),HK,2013-05-24,Ordinary shares, ,2017-12-31,2017-12-31
00235,CS Wealth Securities Limited (orgdata.asp?p=50843),HK,1988-05-24,Ordinary shares, ,2016-02-22,2016-02-22
00235,MAX TALENT INVESTMENTS LIMITED (orgdata.asp?p=1335341),HK,2007-11-23,Ordinary shares, ,2017-12-31,2017-12-31
00235,MRI Holdings Limited (orgdata.asp?p=2927),AU,,Ordinary shares, ,2003-09-30,2003-09-30
00235,Pawsley Limited (orgdata.asp?p=2444792),VG,,Ordinary shares, ,2003-09-30,2003-09-30
00235,RICH CROWN INVESTMENTS LIMITED (orgdata.asp?p=1322107),HK,2007-10-11,Ordinary shares, ,2017-12-31,2017-12-31
00235,RUBY ENTERPRISES LIMITED (d2015-09-25) (orgdata.asp?p=161614),HK,1962-11-21,Ordinary shares, ,2003-12-31,2003-12-31
00235,U Credit (HK) Limited (orgdata.asp?p=2331218),HK,2014-10-13,Ordinary shares, ,2017-12-31,2017-12-31
00310,Accufocus Investments Limited (orgdata.asp?p=2486919),VG,,Ordinary shares, ,2013-03-31,2013-03-31
00310,Bright Honest Limited (VG) (orgdata.asp?p=36526),VG,,Ordinary shares, ,2005-12-31,2005-12-31
00310,GOLDEN CHAIN DEVELOPMENT LIMITED (orgdata.asp?p=40606),HK,1987-10-20,Ordinary shares, ,2006-12-31,2006-12-31
00310,Happy Online Group Limited (orgdata.asp?p=20700),VG,,Ordinary shares, ,2005-12-31,2005-12-31
00310,Luck Point Investments Limited (orgdata.asp?p=20699),VG,,Ordinary shares, ,2005-12-31,2005-12-31
