Name,SFCLink,ROs,Reps,Total,Reps v total%,LicenseStats,Licensed
KGI FUTURES (HONG KONG) LIMITED,SFClicensees.asp?p=57356&a=0&h=Y&sort=posdn&d=2020-01-22,16,422,438,96.35,SFChistfirm.asp?p=57356&a=0,
HAITONG INTERNATIONAL SECURITIES COMPANY LIMITED,SFClicensees.asp?p=51088&a=0&h=Y&sort=posdn&d=2020-01-22,22,407,429,94.87,SFChistfirm.asp?p=51088&a=0,2003-09-30
PHILLIP SECURITIES (HONG KONG) LIMITED,SFClicensees.asp?p=49853&a=0&h=Y&sort=posdn&d=2020-01-22,6,423,429,98.60,SFChistfirm.asp?p=49853&a=0,
Merrill Lynch Far East Limited,SFClicensees.asp?p=5695&a=0&h=Y&sort=posdn&d=2020-01-22,42,381,423,90.07,SFChistfirm.asp?p=5695&a=0,2010-08-20
Manulife Investment Management (Hong Kong) Limited,SFClicensees.asp?p=66385&a=0&h=Y&sort=posdn&d=2020-01-22,25,379,404,93.81,SFChistfirm.asp?p=66385&a=0,2015-03-17
Morgan Stanley Hong Kong Securities Limited,SFClicensees.asp?p=50945&a=0&h=Y&sort=posdn&d=2020-01-22,14,353,367,96.19,SFChistfirm.asp?p=50945&a=0,2010-11-30
UBS SECURITIES ASIA LIMITED,SFClicensees.asp?p=30228&a=0&h=Y&sort=posdn&d=2020-01-22,18,335,353,94.90,SFChistfirm.asp?p=30228&a=0,
BOCI SECURITIES LIMITED,SFClicensees.asp?p=1456&a=0&h=Y&sort=posdn&d=2020-01-22,15,325,340,95.59,SFChistfirm.asp?p=1456&a=0,2004-03-01
CLSA LIMITED,SFClicensees.asp?p=477&a=0&h=Y&sort=posdn&d=2020-01-22,26,310,336,92.26,SFChistfirm.asp?p=477&a=0,2013-07-09
SUN HUNG KAI COMMODITIES LIMITED,SFClicensees.asp?p=55729&a=0&h=Y&sort=posdn&d=2020-01-22,11,320,331,96.68,SFChistfirm.asp?p=55729&a=0,
GUOTAI JUNAN SECURITIES (HONG KONG) LIMITED,SFClicensees.asp?p=13755&a=0&h=Y&sort=posdn&d=2020-01-22,24,300,324,92.59,SFChistfirm.asp?p=13755&a=0,
J.P. MORGAN BROKING (HONG KONG) LIMITED,SFClicensees.asp?p=10823&a=0&h=Y&sort=posdn&d=2020-01-22,18,286,304,94.08,SFChistfirm.asp?p=10823&a=0,2003-12-02
PHILLIP COMMODITIES (H.K.) LIMITED,SFClicensees.asp?p=51910&a=0&h=Y&sort=posdn&d=2020-01-22,4,288,292,98.63,SFChistfirm.asp?p=51910&a=0,2003-12-09
CORE PACIFIC - YAMAICHI INTERNATIONAL (H.K.) LIMITED,SFClicensees.asp?p=23054&a=0&h=Y&sort=posdn&d=2020-01-22,11,273,284,96.13,SFChistfirm.asp?p=23054&a=0,2016-07-01
UOB KAY HIAN (HONG KONG) LIMITED,SFClicensees.asp?p=42816&a=0&h=Y&sort=posdn&d=2020-01-22,9,269,278,96.76,SFChistfirm.asp?p=42816&a=0,
UBS SECURITIES HONG KONG LIMITED,SFClicensees.asp?p=1467&a=0&h=Y&sort=posdn&d=2020-01-22,22,243,265,91.70,SFChistfirm.asp?p=1467&a=0,2016-12-19
GF Securities (Hong Kong) Brokerage Limited,SFClicensees.asp?p=49377&a=0&h=Y&sort=posdn&d=2020-01-22,16,248,264,93.94,SFChistfirm.asp?p=49377&a=0,2007-01-31
FULBRIGHT SECURITIES LIMITED,SFClicensees.asp?p=41582&a=0&h=Y&sort=posdn&d=2020-01-22,6,255,261,97.70,SFChistfirm.asp?p=41582&a=0,2010-05-18
HAITONG INTERNATIONAL FUTURES LIMITED,SFClicensees.asp?p=56658&a=0&h=Y&sort=posdn&d=2020-01-22,9,243,252,96.43,SFChistfirm.asp?p=56658&a=0,
J.P. MORGAN SECURITIES (FAR EAST) LIMITED,SFClicensees.asp?p=42764&a=0&h=Y&sort=posdn&d=2020-01-22,13,220,233,94.42,SFChistfirm.asp?p=42764&a=0,
BlackRock Asset Management North Asia Limited,SFClicensees.asp?p=59750&a=0&h=Y&sort=posdn&d=2020-01-22,15,213,228,93.42,SFChistfirm.asp?p=59750&a=0,2003-12-16
BNP PARIBAS SECURITIES (ASIA) LIMITED,SFClicensees.asp?p=6162&a=0&h=Y&sort=posdn&d=2020-01-22,14,209,223,93.72,SFChistfirm.asp?p=6162&a=0,2011-09-06
FIL Investment Management (Hong Kong) Limited,SFClicensees.asp?p=1611&a=0&h=Y&sort=posdn&d=2020-01-22,11,207,218,94.95,SFChistfirm.asp?p=1611&a=0,2019-05-30
Jefferies Hong Kong Limited,SFClicensees.asp?p=72015&a=0&h=Y&sort=posdn&d=2020-01-22,15,198,213,92.96,SFChistfirm.asp?p=72015&a=0,2010-01-04
SG SECURITIES (HK) LIMITED,SFClicensees.asp?p=5553&a=0&h=Y&sort=posdn&d=2020-01-22,26,178,204,87.25,SFChistfirm.asp?p=5553&a=0,2003-12-16
SHENWAN HONGYUAN SECURITIES (H.K.) LIMITED,SFClicensees.asp?p=50114&a=0&h=Y&sort=posdn&d=2020-01-22,11,192,203,94.58,SFChistfirm.asp?p=50114&a=0,
MIZUHO SECURITIES ASIA LIMITED,SFClicensees.asp?p=49941&a=0&h=Y&sort=posdn&d=2020-01-22,13,189,202,93.56,SFChistfirm.asp?p=49941&a=0,
MACQUARIE CAPITAL LIMITED,SFClicensees.asp?p=37237&a=0&h=Y&sort=posdn&d=2020-01-22,15,179,194,92.27,SFChistfirm.asp?p=37237&a=0,2013-07-09
BOCOM International Securities Limited,SFClicensees.asp?p=50703&a=0&h=Y&sort=posdn&d=2020-01-22,15,178,193,92.23,SFChistfirm.asp?p=50703&a=0,2007-09-10
"China Galaxy International Securities (Hong Kong) Co., Limited",SFClicensees.asp?p=68484&a=0&h=Y&sort=posdn&d=2020-01-22,17,172,189,91.01,SFChistfirm.asp?p=68484&a=0,2011-09-12
HUATAI FINANCIAL HOLDINGS (HONG KONG) LIMITED,SFClicensees.asp?p=49319&a=0&h=Y&sort=posdn&d=2020-01-22,26,161,187,86.10,SFChistfirm.asp?p=49319&a=0,2007-04-04
SINOPAC SECURITIES (ASIA) LIMITED,SFClicensees.asp?p=19564&a=0&h=Y&sort=posdn&d=2020-01-22,15,170,185,91.89,SFChistfirm.asp?p=19564&a=0,2017-02-13
CITIC Securities Brokerage (HK) Limited,SFClicensees.asp?p=23292&a=0&h=Y&sort=posdn&d=2020-01-22,6,178,184,96.74,SFChistfirm.asp?p=23292&a=0,
China Tonghai Securities Limited,SFClicensees.asp?p=19417&a=0&h=Y&sort=posdn&d=2020-01-22,14,162,176,92.05,SFChistfirm.asp?p=19417&a=0,2004-10-15
"CHINA MERCHANTS SECURITIES (HK) CO., LIMITED",SFClicensees.asp?p=18359&a=0&h=Y&sort=posdn&d=2020-01-22,17,158,175,90.29,SFChistfirm.asp?p=18359&a=0,2005-02-15
UOB KAY HIAN FUTURES (HONG KONG) LIMITED,SFClicensees.asp?p=50237&a=0&h=Y&sort=posdn&d=2020-01-22,6,168,174,96.55,SFChistfirm.asp?p=50237&a=0,
CHINA INDUSTRIAL SECURITIES INTERNATIONAL BROKERAGE LIMITED,SFClicensees.asp?p=135830&a=0&h=Y&sort=posdn&d=2020-01-22,14,159,173,91.91,SFChistfirm.asp?p=135830&a=0,2012-01-06
BARCLAYS CAPITAL ASIA LIMITED,SFClicensees.asp?p=5635&a=0&h=Y&sort=posdn&d=2020-01-22,16,153,169,90.53,SFChistfirm.asp?p=5635&a=0,2005-01-12
CHINA EVERBRIGHT SECURITIES (HK) LIMITED,SFClicensees.asp?p=5437&a=0&h=Y&sort=posdn&d=2020-01-22,21,142,163,87.12,SFChistfirm.asp?p=5437&a=0,
SUN HUNG KAI FOREX LIMITED,SFClicensees.asp?p=55732&a=0&h=Y&sort=posdn&d=2020-01-22,5,158,163,96.93,SFChistfirm.asp?p=55732&a=0,
GUOTAI JUNAN FUTURES (HONG KONG) LIMITED,SFClicensees.asp?p=64536&a=0&h=Y&sort=posdn&d=2020-01-22,12,146,158,92.41,SFChistfirm.asp?p=64536&a=0,2010-11-26
CHIEF SECURITIES LIMITED,SFClicensees.asp?p=50777&a=0&h=Y&sort=posdn&d=2020-01-22,13,144,157,91.72,SFChistfirm.asp?p=50777&a=0,2006-04-20
LGT INVESTMENT MANAGEMENT (ASIA) LIMITED,SFClicensees.asp?p=67808&a=0&h=Y&sort=posdn&d=2020-01-22,5,151,156,96.79,SFChistfirm.asp?p=67808&a=0,
Yuanta Securities (Hong Kong) Company Limited,SFClicensees.asp?p=5453&a=0&h=Y&sort=posdn&d=2020-01-22,19,136,155,87.74,SFChistfirm.asp?p=5453&a=0,2006-07-08
HSBC Corporate Finance (Hong Kong) Limited,SFClicensees.asp?p=50862&a=0&h=Y&sort=posdn&d=2020-01-22,10,140,150,93.33,SFChistfirm.asp?p=50862&a=0,2012-03-09
CMB International Securities Limited,SFClicensees.asp?p=66409&a=0&h=Y&sort=posdn&d=2020-01-22,14,134,148,90.54,SFChistfirm.asp?p=66409&a=0,2010-06-15
JPMorgan Asset Management (Asia Pacific) Limited,SFClicensees.asp?p=28684&a=0&h=Y&sort=posdn&d=2020-01-22,16,130,146,89.04,SFChistfirm.asp?p=28684&a=0,2006-02-16
SHENWAN HONGYUAN FUTURES (H.K.) LIMITED,SFClicensees.asp?p=50115&a=0&h=Y&sort=posdn&d=2020-01-22,10,128,138,92.75,SFChistfirm.asp?p=50115&a=0,
BRIGHT SMART SECURITIES INTERNATIONAL (H.K.) LIMITED,SFClicensees.asp?p=50705&a=0&h=Y&sort=posdn&d=2020-01-22,8,128,136,94.12,SFChistfirm.asp?p=50705&a=0,2009-10-05
HSBC Global Asset Management (Hong Kong) Limited,SFClicensees.asp?p=16058&a=0&h=Y&sort=posdn&d=2020-01-22,9,126,135,93.33,SFChistfirm.asp?p=16058&a=0,2006-03-29
ICBC INTERNATIONAL SECURITIES LIMITED,SFClicensees.asp?p=50872&a=0&h=Y&sort=posdn&d=2020-01-22,25,110,135,81.48,SFChistfirm.asp?p=50872&a=0,2008-11-14
DEUTSCHE SECURITIES ASIA LIMITED,SFClicensees.asp?p=50678&a=0&h=Y&sort=posdn&d=2020-01-22,9,120,129,93.02,SFChistfirm.asp?p=50678&a=0,2004-01-08
Moody's Investors Service Hong Kong Limited,SFClicensees.asp?p=131541&a=0&h=Y&sort=posdn&d=2020-01-22,5,124,129,96.12,SFChistfirm.asp?p=131541&a=0,2011-06-01
PRUDENTIAL BROKERAGE LIMITED,SFClicensees.asp?p=50974&a=0&h=Y&sort=posdn&d=2020-01-22,6,121,127,95.28,SFChistfirm.asp?p=50974&a=0,
Daiwa Capital Markets Hong Kong Limited,SFClicensees.asp?p=24701&a=0&h=Y&sort=posdn&d=2020-01-22,17,105,122,86.07,SFChistfirm.asp?p=24701&a=0,2007-10-05
JPMorgan Funds (Asia) Limited,SFClicensees.asp?p=45312&a=0&h=Y&sort=posdn&d=2020-01-22,12,110,122,90.16,SFChistfirm.asp?p=45312&a=0,
BRIGHT SMART FUTURES & COMMODITIES COMPANY LIMITED,SFClicensees.asp?p=56662&a=0&h=Y&sort=posdn&d=2020-01-22,9,110,119,92.44,SFChistfirm.asp?p=56662&a=0,2011-02-15
S&P Global Ratings Hong Kong Limited,SFClicensees.asp?p=131712&a=0&h=Y&sort=posdn&d=2020-01-22,8,111,119,93.28,SFChistfirm.asp?p=131712&a=0,2011-06-01
EMPEROR SECURITIES LIMITED,SFClicensees.asp?p=14223&a=0&h=Y&sort=posdn&d=2020-01-22,7,109,116,93.97,SFChistfirm.asp?p=14223&a=0,
CELESTIAL SECURITIES LIMITED,SFClicensees.asp?p=48575&a=0&h=Y&sort=posdn&d=2020-01-22,6,109,115,94.78,SFChistfirm.asp?p=48575&a=0,
CORE PACIFIC-YAMAICHI FUTURES (H.K.) LIMITED,SFClicensees.asp?p=52146&a=0&h=Y&sort=posdn&d=2020-01-22,4,111,115,96.52,SFChistfirm.asp?p=52146&a=0,
CHINA INTERNATIONAL CAPITAL CORPORATION HONG KONG FUTURES LIMITED,SFClicensees.asp?p=73278&a=0&h=Y&sort=posdn&d=2020-01-22,7,103,110,93.64,SFChistfirm.asp?p=73278&a=0,2011-04-26
Essence International Securities (Hong Kong) Limited,SFClicensees.asp?p=66410&a=0&h=Y&sort=posdn&d=2020-01-22,13,97,110,88.18,SFChistfirm.asp?p=66410&a=0,2010-05-18
ZHONGTAI INTERNATIONAL SECURITIES LIMITED,SFClicensees.asp?p=1893006&a=0&h=Y&sort=posdn&d=2020-01-22,11,99,110,90.00,SFChistfirm.asp?p=1893006&a=0,2012-11-13
CLSA Capital Markets Limited,SFClicensees.asp?p=18459&a=0&h=Y&sort=posdn&d=2020-01-22,16,93,109,85.32,SFChistfirm.asp?p=18459&a=0,
HSBC INVESTMENT FUNDS (HONG KONG) LIMITED,SFClicensees.asp?p=49546&a=0&h=Y&sort=posdn&d=2020-01-22,9,100,109,91.74,SFChistfirm.asp?p=49546&a=0,
INVESCO HONG KONG LIMITED,SFClicensees.asp?p=33275&a=0&h=Y&sort=posdn&d=2020-01-22,7,102,109,93.58,SFChistfirm.asp?p=33275&a=0,
LUK FOOK SECURITIES (HK) LIMITED,SFClicensees.asp?p=51109&a=0&h=Y&sort=posdn&d=2020-01-22,7,102,109,93.58,SFChistfirm.asp?p=51109&a=0,2012-06-25
NATIXIS ASIA LIMITED,SFClicensees.asp?p=50952&a=0&h=Y&sort=posdn&d=2020-01-22,5,102,107,95.33,SFChistfirm.asp?p=50952&a=0,2004-10-19
BOCI-PRUDENTIAL ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=20824&a=0&h=Y&sort=posdn&d=2020-01-22,9,97,106,91.51,SFChistfirm.asp?p=20824&a=0,2007-07-04
SCHRODER INVESTMENT MANAGEMENT (HONG KONG) LIMITED,SFClicensees.asp?p=1465&a=0&h=Y&sort=posdn&d=2020-01-22,14,92,106,86.79,SFChistfirm.asp?p=1465&a=0,
CITIC Securities Futures (HK) Limited,SFClicensees.asp?p=50240&a=0&h=Y&sort=posdn&d=2020-01-22,6,99,105,94.29,SFChistfirm.asp?p=50240&a=0,
HSBC BROKING SECURITIES (ASIA) LIMITED,SFClicensees.asp?p=50861&a=0&h=Y&sort=posdn&d=2020-01-22,7,98,105,93.33,SFChistfirm.asp?p=50861&a=0,2015-01-19
CCB INTERNATIONAL CAPITAL LIMITED,SFClicensees.asp?p=30230&a=0&h=Y&sort=posdn&d=2020-01-22,19,85,104,81.73,SFChistfirm.asp?p=30230&a=0,2004-05-27
FITCH (HONG KONG) LIMITED,SFClicensees.asp?p=131596&a=0&h=Y&sort=posdn&d=2020-01-22,9,95,104,91.35,SFChistfirm.asp?p=131596&a=0,2011-06-01
FULBRIGHT FUTURES LIMITED,SFClicensees.asp?p=66943&a=0&h=Y&sort=posdn&d=2020-01-22,2,101,103,98.06,SFChistfirm.asp?p=66943&a=0,2005-12-05
"China Galaxy International Futures (Hong Kong) Co., Limited",SFClicensees.asp?p=134996&a=0&h=Y&sort=posdn&d=2020-01-22,6,96,102,94.12,SFChistfirm.asp?p=134996&a=0,2011-12-14
FWD Financial Planning Limited (HK),SFClicensees.asp?p=61856&a=0&h=Y&sort=posdn&d=2020-01-22,5,96,101,95.05,SFChistfirm.asp?p=61856&a=0,2011-01-25
MUFG Securities Asia Limited,SFClicensees.asp?p=46569&a=0&h=Y&sort=posdn&d=2020-01-22,9,92,101,91.09,SFChistfirm.asp?p=46569&a=0,2010-12-31
FIL Investment Advisors,SFClicensees.asp?p=65241&a=0&h=Y&sort=posdn&d=2020-01-22,6,92,98,93.88,SFChistfirm.asp?p=65241&a=0,
CPPIB Asia Inc.,SFClicensees.asp?p=150698&a=0&h=Y&sort=posdn&d=2020-01-22,6,91,97,93.81,SFChistfirm.asp?p=150698&a=0,2019-04-01
HSBC BROKING FUTURES (ASIA) LIMITED,SFClicensees.asp?p=50859&a=0&h=Y&sort=posdn&d=2020-01-22,6,89,95,93.68,SFChistfirm.asp?p=50859&a=0,
CHINA EVERBRIGHT FOREX & FUTURES (HK) LIMITED,SFClicensees.asp?p=51908&a=0&h=Y&sort=posdn&d=2020-01-22,4,90,94,95.74,SFChistfirm.asp?p=51908&a=0,2003-10-31
Allianz Global Investors Asia Pacific Limited (SFC:BFE699),SFClicensees.asp?p=2432067&a=0&h=Y&sort=posdn&d=2020-01-22,11,81,92,88.04,SFChistfirm.asp?p=2432067&a=0,2015-06-01
CCB INTERNATIONAL SECURITIES LIMITED,SFClicensees.asp?p=49376&a=0&h=Y&sort=posdn&d=2020-01-22,23,69,92,75.00,SFChistfirm.asp?p=49376&a=0,2005-08-19
Credit Suisse Securities (Hong Kong) Limited,SFClicensees.asp?p=50792&a=0&h=Y&sort=posdn&d=2020-01-22,8,84,92,91.30,SFChistfirm.asp?p=50792&a=0,2013-07-30
INVESCO ASSET MANAGEMENT ASIA LIMITED,SFClicensees.asp?p=33308&a=0&h=Y&sort=posdn&d=2020-01-22,4,88,92,95.65,SFChistfirm.asp?p=33308&a=0,
BOCI ASIA LIMITED,SFClicensees.asp?p=7117&a=0&h=Y&sort=posdn&d=2020-01-22,12,79,91,86.81,SFChistfirm.asp?p=7117&a=0,
SOUTH CHINA SECURITIES LIMITED,SFClicensees.asp?p=51065&a=0&h=Y&sort=posdn&d=2020-01-22,7,84,91,92.31,SFChistfirm.asp?p=51065&a=0,
CCB INTERNATIONAL ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=49894&a=0&h=Y&sort=posdn&d=2020-01-22,14,76,90,84.44,SFChistfirm.asp?p=49894&a=0,2005-11-29
HSBC BROKING FOREX (ASIA) LIMITED,SFClicensees.asp?p=50858&a=0&h=Y&sort=posdn&d=2020-01-22,7,83,90,92.22,SFChistfirm.asp?p=50858&a=0,
CINDA INTERNATIONAL SECURITIES LIMITED,SFClicensees.asp?p=20296&a=0&h=Y&sort=posdn&d=2020-01-22,6,81,87,93.10,SFChistfirm.asp?p=20296&a=0,
FIRST SHANGHAI SECURITIES LIMITED,SFClicensees.asp?p=5689&a=0&h=Y&sort=posdn&d=2020-01-22,12,75,87,86.21,SFChistfirm.asp?p=5689&a=0,
HSBC SECURITIES BROKERS (ASIA) LIMITED,SFClicensees.asp?p=50856&a=0&h=Y&sort=posdn&d=2020-01-22,9,78,87,89.66,SFChistfirm.asp?p=50856&a=0,2011-03-04
ORIENT SECURITIES (HONG KONG) LIMITED,SFClicensees.asp?p=60545&a=0&h=Y&sort=posdn&d=2020-01-22,12,74,86,86.05,SFChistfirm.asp?p=60545&a=0,2010-07-21
China Securities (International) Brokerage Company Limited,SFClicensees.asp?p=1998344&a=0&h=Y&sort=posdn&d=2020-01-22,7,78,85,91.76,SFChistfirm.asp?p=1998344&a=0,2013-04-24
CMB International Capital Limited,SFClicensees.asp?p=60614&a=0&h=Y&sort=posdn&d=2020-01-22,16,69,85,81.18,SFChistfirm.asp?p=60614&a=0,2010-09-07
CSI Global Markets Limited,SFClicensees.asp?p=2622551&a=0&h=Y&sort=posdn&d=2020-01-22,6,79,85,92.94,SFChistfirm.asp?p=2622551&a=0,2017-05-23
ICBC INTERNATIONAL CAPITAL LIMITED,SFClicensees.asp?p=47434&a=0&h=Y&sort=posdn&d=2020-01-22,14,70,84,83.33,SFChistfirm.asp?p=47434&a=0,2008-05-27
VALUE PARTNERS LIMITED,SFClicensees.asp?p=1469&a=0&h=Y&sort=posdn&d=2020-01-22,8,76,84,90.48,SFChistfirm.asp?p=1469&a=0,2017-04-13
GUOYUAN SECURITIES BROKERAGE (HONG KONG) LIMITED,SFClicensees.asp?p=50839&a=0&h=Y&sort=posdn&d=2020-01-22,6,76,82,92.68,SFChistfirm.asp?p=50839&a=0,2007-01-30
T. Rowe Price Hong Kong Limited,SFClicensees.asp?p=79788&a=0&h=Y&sort=posdn&d=2020-01-22,7,75,82,91.46,SFChistfirm.asp?p=79788&a=0,2010-12-21
VALUE PARTNERS HONG KONG LIMITED,SFClicensees.asp?p=74618&a=0&h=Y&sort=posdn&d=2020-01-22,8,74,82,90.24,SFChistfirm.asp?p=74618&a=0,2007-11-19
ABCI Securities Company Limited,SFClicensees.asp?p=17464&a=0&h=Y&sort=posdn&d=2020-01-22,11,70,81,86.42,SFChistfirm.asp?p=17464&a=0,2005-11-15
CHIEF COMMODITIES LIMITED,SFClicensees.asp?p=56663&a=0&h=Y&sort=posdn&d=2020-01-22,5,74,79,93.67,SFChistfirm.asp?p=56663&a=0,2006-05-17
GET NICE SECURITIES LIMITED,SFClicensees.asp?p=14367&a=0&h=Y&sort=posdn&d=2020-01-22,8,71,79,89.87,SFChistfirm.asp?p=14367&a=0,
"CHINA MERCHANTS FUTURES (HK) CO., LIMITED",SFClicensees.asp?p=67589&a=0&h=Y&sort=posdn&d=2020-01-22,8,70,78,89.74,SFChistfirm.asp?p=67589&a=0,
CELESTIAL COMMODITIES LIMITED,SFClicensees.asp?p=49035&a=0&h=Y&sort=posdn&d=2020-01-22,7,70,77,90.91,SFChistfirm.asp?p=49035&a=0,
Nerico Brothers Limited,SFClicensees.asp?p=50826&a=0&h=Y&sort=posdn&d=2020-01-22,10,67,77,87.01,SFChistfirm.asp?p=50826&a=0,2004-11-30
HAITONG INTERNATIONAL RESEARCH LIMITED,SFClicensees.asp?p=58037&a=0&h=Y&sort=posdn&d=2020-01-22,4,72,76,94.74,SFChistfirm.asp?p=58037&a=0,
YUE XIU SECURITIES COMPANY LIMITED,SFClicensees.asp?p=22733&a=0&h=Y&sort=posdn&d=2020-01-22,11,63,74,85.14,SFChistfirm.asp?p=22733&a=0,2013-12-02
EMPEROR FUTURES LIMITED,SFClicensees.asp?p=50005&a=0&h=Y&sort=posdn&d=2020-01-22,3,69,72,95.83,SFChistfirm.asp?p=50005&a=0,
BCT Financial Limited,SFClicensees.asp?p=66439&a=0&h=Y&sort=posdn&d=2020-01-22,4,67,71,94.37,SFChistfirm.asp?p=66439&a=0,2010-11-24
China Investment Securities International Brokerage Limited,SFClicensees.asp?p=136220&a=0&h=Y&sort=posdn&d=2020-01-22,10,61,71,85.92,SFChistfirm.asp?p=136220&a=0,2012-01-12
KIM ENG SECURITIES (HONG KONG) LIMITED,SFClicensees.asp?p=16066&a=0&h=Y&sort=posdn&d=2020-01-22,10,61,71,85.92,SFChistfirm.asp?p=16066&a=0,2012-05-21
China Renaissance Securities (Hong Kong) Limited,SFClicensees.asp?p=1912087&a=0&h=Y&sort=posdn&d=2020-01-22,10,60,70,85.71,SFChistfirm.asp?p=1912087&a=0,2012-10-24
Point72 Hong Kong Limited,SFClicensees.asp?p=70520&a=0&h=Y&sort=posdn&d=2020-01-22,4,65,69,94.20,SFChistfirm.asp?p=70520&a=0,2006-11-14
St. James's Place (Hong Kong) Limited,SFClicensees.asp?p=69182&a=0&h=Y&sort=posdn&d=2020-01-22,4,65,69,94.20,SFChistfirm.asp?p=69182&a=0,2012-02-14
CHINA INDUSTRIAL SECURITIES INTERNATIONAL FUTURES LIMITED,SFClicensees.asp?p=1846736&a=0&h=Y&sort=posdn&d=2020-01-22,7,61,68,89.71,SFChistfirm.asp?p=1846736&a=0,2012-07-13
GUOTAI JUNAN CAPITAL LIMITED,SFClicensees.asp?p=17722&a=0&h=Y&sort=posdn&d=2020-01-22,11,57,68,83.82,SFChistfirm.asp?p=17722&a=0,
SANFULL SECURITIES LIMITED,SFClicensees.asp?p=1445&a=0&h=Y&sort=posdn&d=2020-01-22,5,62,67,92.54,SFChistfirm.asp?p=1445&a=0,
Wellington Management Hong Kong Limited (b2003-01-02),SFClicensees.asp?p=62970&a=0&h=Y&sort=posdn&d=2020-01-22,8,59,67,88.06,SFChistfirm.asp?p=62970&a=0,2003-09-18
BLACKSTONE GROUP (HK) LIMITED (THE),SFClicensees.asp?p=69147&a=0&h=Y&sort=posdn&d=2020-01-22,4,62,66,93.94,SFChistfirm.asp?p=69147&a=0,2008-10-14
China Securities (International) Corporate Finance Company Limited,SFClicensees.asp?p=1942934&a=0&h=Y&sort=posdn&d=2020-01-22,7,58,65,89.23,SFChistfirm.asp?p=1942934&a=0,2013-04-08
Interactive Brokers Hong Kong Limited,SFClicensees.asp?p=51102&a=0&h=Y&sort=posdn&d=2020-01-22,4,61,65,93.85,SFChistfirm.asp?p=51102&a=0,2004-01-07
UBS Asset Management (Hong Kong) Limited,SFClicensees.asp?p=33261&a=0&h=Y&sort=posdn&d=2020-01-22,7,58,65,89.23,SFChistfirm.asp?p=33261&a=0,2012-09-12
LUK FOOK FUTURES (HK) LIMITED,SFClicensees.asp?p=134482&a=0&h=Y&sort=posdn&d=2020-01-22,6,58,64,90.63,SFChistfirm.asp?p=134482&a=0,2011-12-05
Vantage Capital Markets HK Limited,SFClicensees.asp?p=51118&a=0&h=Y&sort=posdn&d=2020-01-22,7,57,64,89.06,SFChistfirm.asp?p=51118&a=0,2008-10-02
EMPEROR INTERNATIONAL EXCHANGE (HONG KONG) COMPANY LIMITED,SFClicensees.asp?p=7533&a=0&h=Y&sort=posdn&d=2020-01-22,4,59,63,93.65,SFChistfirm.asp?p=7533&a=0,
FIRST SECURITIES (HK) LIMITED,SFClicensees.asp?p=15732&a=0&h=Y&sort=posdn&d=2020-01-22,6,56,62,90.32,SFChistfirm.asp?p=15732&a=0,2009-08-03
KINGSWAY FINANCIAL SERVICES GROUP LIMITED,SFClicensees.asp?p=28890&a=0&h=Y&sort=posdn&d=2020-01-22,11,50,61,81.97,SFChistfirm.asp?p=28890&a=0,2004-05-31
